gene_class,symbol,geneid,samp1,samp2,samp3,samp4,samp5,samp6,samp7,samp8,samp9,samp10,samp11,samp12
Endogenous,NADK2,NM_153013.3,297,29,52,188,28,14,48,30,62,41,62,62
Endogenous,PEMT,NM_148173.1,549,37,55,391,32,20,45,44,68,42,71,57
Endogenous,PIK3CB,NM_006219.1,194,23,33,138,51,31,47,40,61,22,70,64
Endogenous,SLC16A6,NM_001174166.1,345,30,71,162,36,22,46,40,52,11,69,80
Endogenous,SLC25A1,NM_005984.2,301,29,70,181,32,30,50,31,93,42,104,66
Endogenous,TBXAS1,NM_001130966.2,131,31,126,57,9,10,52,38,70,41,30,113
Endogenous,WRN,NM_000553.4,481,26,55,290,38,22,57,41,50,24,68,61
Endogenous,GOT1,NM_002079.2,466,35,62,331,40,15,48,41,67,40,65,45
Endogenous,IDNK,NM_001001551.3,211,26,46,127,28,17,62,41,49,39,76,55
Endogenous,PIK3R2,NM_005027.2,321,27,68,230,41,37,50,44,40,32,79,79
