gene_class,symbol,geneid,samp1,samp2,samp3,samp4,samp5,samp6,samp7,samp8,samp9,samp10,samp11,samp12
Endogenous,CCR2,NM_001123041.2,1790,52,50,2374,91,27,118,121,421,500,117,311
Endogenous,CCR8,NM_005201.2,328,35,25,735,50,291,243,221,337,322,67,239
Endogenous,CD9,NM_001769.2,181,39,26,219,36,76,137,103,180,93,71,103
Endogenous,CSF2,NM_000758.2,1397,113,59,3843,26,17,169,173,1821,1272,42,751
Endogenous,CX3CR1,NM_001337.3,31,214,207,48,574,54,501,188,139,246,996,609
Endogenous,IFI30,NM_006332.3,630,44,82,655,100,39,80,44,219,183,138,123
Endogenous,IFI6,NM_002038.3,530,58,57,925,51,18,54,76,451,172,90,172
Endogenous,MTHFR,NM_005957.4,138,45,44,150,62,32,68,71,153,123,102,109
Endogenous,PCCA,NM_000282.3,146,51,63,144,55,18,67,64,143,127,77,89
Endogenous,PPP3CA,NM_000944.4,325,39,64,341,35,18,76,83,242,143,87,151
Endogenous,SELPLG,NM_003006.3,300,40,68,270,40,41,73,72,153,133,67,122
Endogenous,SGO2,NM_152524.5,1007,47,93,826,87,19,42,60,140,182,99,83
Endogenous,TNFSF9,NM_003811.3,23,102,284,44,164,24,132,105,335,252,323,195
Endogenous,TRAV1-1,TCRVA_001.1,380,19,5,369,61,730,135,383,919,169,19,163
Endogenous,TRAV12-2,TCRVA_019.1,1255,80,33,1066,29,55,181,296,1102,7879,620,440
Endogenous,TRAV13-2,TCRVA_022.1,478,69,37,493,14,15,98,302,209,122,151,212
Endogenous,TRAV14,TCRVA_023.1,857,53,530,869,60,12,118,438,206,201,29,331
Endogenous,TRAV23,TCRVA_031.1,694,62,33,651,14,14,322,163,633,123,3409,385
Endogenous,TRAV24,TCRVA_032.1,252,68,31,293,13,2,349,186,111,82,73,390
Endogenous,TRAV5,TCRVA_006.1,238,38,109,205,684,13,40,70,1214,348,150,113
Endogenous,TRAV8-6,TCRVA_013.1,607,128,15,621,18,23,90,345,657,701,378,445
Endogenous,TRBV11-2,TCRVB_030.1,654,48,12,685,171,8,96,151,455,1599,114,117
Endogenous,TRBV12-3,TCRVB_032.1,427,151,12,372,201,17,374,49,363,89,208,643
Endogenous,TRBV2,TCRVB_001.1,288,226,265,287,220,5,85,126,66,14,22,140
Endogenous,TRBV4-1,TCRVB_003.1,458,34,86,389,99,7,67,66,80,150,2,68
Endogenous,TRBV9,TCRVB_025.1,1022,122,54,1012,38,13,389,210,203,316,548,210
Endogenous,TRDC,ENST00000390477.1,1451,248,284,1065,15,28,823,340,109,39,183,58
Endogenous,TRGV8,ENST00000390343.1,73,69,22,59,507,7,99,35,62,61,157,83
Endogenous,WDR45,NM_007075.3,242,52,68,262,44,19,81,85,166,133,118,131
Endogenous,ACAD10,NM_001136538.1,119,22,62,152,43,24,66,55,107,106,79,73
Endogenous,CCL1,NM_002981.1,291,389,39,1224,19,20,72,189,2238,683,25,1918
Endogenous,CCR7,NM_001838.2,927,23,27,1098,63,291,111,77,133,59,33,41
Endogenous,GNG10,NM_001017998.3,560,44,60,607,50,46,52,59,137,123,81,89
Endogenous,IFITM3,NM_021034.2,586,52,54,523,45,33,68,74,99,105,56,61
Endogenous,IL26,NM_018402.1,240,20,14,591,23,6,170,95,183,1276,92,216
Endogenous,IL6R,NM_000565.2,9,38,114,7,40,76,133,151,210,306,84,162
Endogenous,IRF5,NM_001098627.1,72,44,81,147,48,31,55,77,255,172,79,129
Endogenous,NCR3,NM_147130.2,1132,53,30,977,33,55,82,68,202,190,65,129
Endogenous,PRICKLE3,NM_006150.3,159,30,57,209,53,22,49,60,96,86,72,72
Endogenous,RPTOR,NM_020761.2,644,23,54,570,73,18,57,49,93,123,100,77
Endogenous,SMAD5,NM_005903.5,258,24,59,276,52,33,48,72,183,104,75,80
Endogenous,TRAV1-2,TCRVA_002.1,495,16,12,498,155,17,229,380,770,438,11,84
